Record_ID,Client,Industry,Platform,Content_Type,Content_Topic,Posting_Day,Posting_Time,Ad_Spend,Impressions,Reach,Likes,Comments,Shares,Saves,Clicks,Leads,Revenue,Video_Views,Watch_Time_Sec,Performance_Score
REC0011,Client_A,Fashion & Retail,Instagram,Carousel,Industry News,Wednesday,Night (21:00-08:00),47.32,1306,962,42,6,2,3,18,0,0.0,0,0.0,51.65
REC0012,Client_B,Fashion & Retail,YouTube,Shorts,Customer Testimonial,Sunday,Night (21:00-08:00),614.02,6091,5476,419,44,36,15,136,10,481.2,3175,24936.76,83.44
REC0013,Client_A,Fashion & Retail,Instagram,Image,Promotional/Discount,Saturday,Night (21:00-08:00),0.0,618,508,26,2,2,1,8,0,0.0,0,0.0,51.57
REC0014,Client_G,Health & Fitness,Facebook,Video,Promotional/Discount,Wednesday,Evening (17:00-21:00),0.0,658,588,6,0,0,0,10,0,0.0,260,2337.48,25.75
REC0015,Client_D,B2B Tech/SaaS,Instagram,Reel,Product Education,Thursday,Night (21:00-08:00),0.0,1331,1113,22,1,1,1,12,0,0.0,516,3210.4,33.1
REC0016,Client_C,B2B Tech/SaaS,Instagram,Carousel,Meme/Trending,Saturday,Afternoon (12:00-17:00),0.0,618,440,25,2,2,0,5,0,0.0,0,0.0,57.58
REC0017,Client_J,Travel & Hospitality,YouTube,Shorts,Industry News,Thursday,Afternoon (12:00-17:00),158.29,2479,2160,40,5,3,3,41,1,109.64,1283,17095.79,40.35
REC0018,Client_A,Fashion & Retail,Instagram,Reel,Lifestyle/Aesthetic,Wednesday,Night (21:00-08:00),273.92,3789,2646,163,21,7,5,77,3,122.61,1628,13353.26,69.53
REC0019,Client_J,Travel & Hospitality,Instagram,Image,Industry News,Saturday,Evening (17:00-21:00),0.0,560,492,29,2,1,1,5,0,0.0,0,0.0,58.37
REC0020,Client_E,Food & Beverage,Instagram,Carousel,Promotional/Discount,Tuesday,Night (21:00-08:00),29.2,932,627,22,3,1,0,19,1,24.23,0,0.0,48.19
REC0021,Client_E,Food & Beverage,Instagram,Reel,Industry News,Thursday,Afternoon (12:00-17:00),12.31,1305,1024,31,3,3,2,12,0,0.0,633,6254.3,39.7
REC0022,Client_A,Fashion & Retail,Instagram,Carousel,Industry News,Thursday,Evening (17:00-21:00),0.0,619,444,17,1,0,1,4,0,0.0,0,0.0,45.13
REC0023,Client_J,Travel & Hospitality,Instagram,Reel,Product Education,Sunday,Night (21:00-08:00),0.0,1314,866,64,10,4,3,10,0,0.0,493,2958.1,60.04
REC0024,Client_H,Real Estate,YouTube,Video,Promotional/Discount,Monday,Evening (17:00-21:00),0.0,972,851,11,1,0,1,13,0,0.0,357,2438.94,29.3
REC0025,Client_D,B2B Tech/SaaS,LinkedIn,Text,Industry News,Friday,Evening (17:00-21:00),0.0,207,183,1,0,0,0,1,0,0.0,0,0.0,23.31
REC0026,Client_B,Fashion & Retail,YouTube,Shorts,Behind the Scenes,Thursday,Morning (08:00-12:00),23.18,1358,1161,31,2,1,3,13,0,0.0,732,10857.03,37.73
REC0027,Client_D,B2B Tech/SaaS,LinkedIn,Carousel,Customer Testimonial,Friday,Night (21:00-08:00),0.0,525,355,2,0,0,0,3,0,0.0,0,0.0,21.91
REC0028,Client_A,Fashion & Retail,LinkedIn,Image,Product Education,Sunday,Night (21:00-08:00),314.43,3036,2029,96,14,6,7,73,4,184.59,0,0.0,61.2
REC0029,Client_F,Fintech & Finance,LinkedIn,Carousel,Customer Testimonial,Thursday,Afternoon (12:00-17:00),0.0,445,358,14,1,1,0,3,0,0.0,0,0.0,44.48
REC0030,Client_F,Fintech & Finance,Instagram,Carousel,Industry News,Thursday,Morning (08:00-12:00),0.0,884,667,55,7,2,1,6,0,0.0,0,0.0,59.27
REC0031,Client_A,Fashion & Retail,Instagram,Reel,Product Education,Saturday,Evening (17:00-21:00),0.0,1175,885,68,4,6,6,11,0,0.0,591,8473.28,60.11
REC0032,Client_J,Travel & Hospitality,Instagram,Carousel,Product Education,Saturday,Morning (08:00-12:00),0.0,587,480,22,2,0,1,4,0,0.0,0,0.0,47.46
REC0033,Client_A,Fashion & Retail,Instagram,Carousel,Lifestyle/Aesthetic,Wednesday,Morning (08:00-12:00),0.0,413,349,10,1,0,0,3,0,0.0,0,0.0,37.28
REC0034,Client_C,B2B Tech/SaaS,Facebook,Video,Lifestyle/Aesthetic,Monday,Night (21:00-08:00),0.0,623,513,1,0,0,0,4,0,0.0,261,1438.0,21.1
REC0035,Client_C,B2B Tech/SaaS,LinkedIn,Text,Meme/Trending,Wednesday,Afternoon (12:00-17:00),0.0,308,231,11,1,1,0,2,0,0.0,0,0.0,47.61
REC0036,Client_J,Travel & Hospitality,Instagram,Image,Product Education,Friday,Morning (08:00-12:00),346.96,3508,2562,86,10,7,6,76,4,360.21,0,0.0,56.83
REC0037,Client_D,B2B Tech/SaaS,LinkedIn,Carousel,Industry News,Thursday,Evening (17:00-21:00),0.0,452,379,7,1,0,0,3,0,0.0,0,0.0,31.76
REC0038,Client_B,Fashion & Retail,Instagram,Carousel,Meme/Trending,Monday,Evening (17:00-21:00),13.04,741,542,32,5,2,2,7,0,0.0,0,0.0,58.66
REC0039,Client_F,Fintech & Finance,LinkedIn,Carousel,Product Education,Thursday,Evening (17:00-21:00),71.75,1083,770,20,1,2,0,17,1,119.71,0,0.0,45.02
REC0040,Client_H,Real Estate,YouTube,Video,Customer Testimonial,Sunday,Night (21:00-08:00),0.0,1200,781,7,0,0,0,10,0,0.0,621,3391.24,26.03
REC0041,Client_J,Travel & Hospitality,Instagram,Carousel,Product Education,Thursday,Morning (08:00-12:00),0.0,918,616,17,2,1,1,6,0,0.0,0,0.0,37.98
REC0042,Client_J,Travel & Hospitality,YouTube,Video,Behind the Scenes,Thursday,Morning (08:00-12:00),10.41,1124,900,19,1,1,1,9,0,0.0,439,3314.78,33.97
REC0043,Client_A,Fashion & Retail,Facebook,Video,Industry News,Wednesday,Morning (08:00-12:00),0.0,655,456,3,0,0,0,5,0,0.0,322,4442.32,24.7
REC0044,Client_F,Fintech & Finance,LinkedIn,Text,Product Education,Monday,Morning (08:00-12:00),0.0,321,281,3,0,0,0,2,0,0.0,0,0.0,26.54
REC0045,Client_A,Fashion & Retail,Instagram,Reel,Promotional/Discount,Friday,Afternoon (12:00-17:00),0.0,1409,966,37,5,2,3,17,1,43.91,621,6363.69,53.29
REC0046,Client_H,Real Estate,Instagram,Carousel,Promotional/Discount,Friday,Afternoon (12:00-17:00),146.86,2267,1813,49,7,2,2,54,3,920.69,0,0.0,66.83
REC0047,Client_J,Travel & Hospitality,LinkedIn,Text,Product Education,Monday,Evening (17:00-21:00),0.0,235,206,5,0,0,0,1,0,0.0,0,0.0,32.88
REC0048,Client_H,Real Estate,Facebook,Reel,Product Education,Saturday,Morning (08:00-12:00),0.0,1165,873,12,1,1,0,8,0,0.0,622,4451.13,30.64
REC0049,Client_B,Fashion & Retail,Instagram,Reel,Customer Testimonial,Wednesday,Night (21:00-08:00),0.0,1301,899,33,3,3,1,9,0,0.0,709,6032.08,47.17
REC0050,Client_D,B2B Tech/SaaS,LinkedIn,Image,Industry News,Monday,Evening (17:00-21:00),0.0,350,245,2,0,0,0,2,0,0.0,0,0.0,23.84
REC0051,Client_C,B2B Tech/SaaS,LinkedIn,Text,Promotional/Discount,Monday,Afternoon (12:00-17:00),0.0,262,192,2,0,0,0,3,0,0.0,0,0.0,25.16
REC0052,Client_B,Fashion & Retail,Facebook,Video,Product Education,Sunday,Evening (17:00-21:00),177.16,2049,1666,45,3,2,3,44,3,132.22,990,5405.21,48.11
REC0053,Client_G,Health & Fitness,YouTube,Video,Meme/Trending,Monday,Evening (17:00-21:00),0.0,1308,1147,77,7,6,4,8,0,0.0,660,4853.04,60.87
REC0054,Client_E,Food & Beverage,Instagram,Reel,Lifestyle/Aesthetic,Thursday,Night (21:00-08:00),135.13,2344,1630,108,12,9,8,38,1,25.73,1018,4669.89,64.13
REC0055,Client_B,Fashion & Retail,Instagram,Image,Behind the Scenes,Friday,Afternoon (12:00-17:00),0.0,644,523,23,1,0,0,5,0,0.0,0,0.0,45.69
REC0056,Client_I,E-Learning & Education,LinkedIn,Text,Product Education,Tuesday,Morning (08:00-12:00),119.76,1280,1025,41,4,2,2,28,1,50.66,0,0.0,51.74
REC0057,Client_B,Fashion & Retail,Instagram,Video,Lifestyle/Aesthetic,Friday,Night (21:00-08:00),14.75,1123,744,58,6,3,4,9,0,0.0,504,5675.46,59.59
REC0058,Client_J,Travel & Hospitality,Instagram,Image,Behind the Scenes,Friday,Night (21:00-08:00),0.0,667,493,32,5,1,3,5,0,0.0,0,0.0,58.37
REC0059,Client_H,Real Estate,Facebook,Text,Product Education,Sunday,Morning (08:00-12:00),0.0,293,226,2,0,0,0,2,0,0.0,0,0.0,26.8
REC0060,Client_E,Food & Beverage,Instagram,Carousel,Meme/Trending,Friday,Evening (17:00-21:00),397.34,4315,3715,409,59,17,30,89,2,45.77,0,0.0,67.78
REC0061,Client_E,Food & Beverage,Instagram,Carousel,Meme/Trending,Thursday,Evening (17:00-21:00),126.31,1762,1421,128,14,6,3,34,0,0.0,0,0.0,61.51
REC0062,Client_B,Fashion & Retail,YouTube,Shorts,Meme/Trending,Saturday,Night (21:00-08:00),500.0,1500,1200,1,0,0,0,0,0,0.0,646,4240.37,5.2
REC0063,Client_B,Fashion & Retail,Instagram,Carousel,Product Education,Monday,Morning (08:00-12:00),0.0,508,416,8,1,0,0,3,0,0.0,0,0.0,31.79
REC0064,Client_B,Fashion & Retail,Instagram,Video,Customer Testimonial,Thursday,Morning (08:00-12:00),0.0,946,669,24,2,1,2,7,0,0.0,498,7038.25,44.86
REC0065,Client_J,Travel & Hospitality,LinkedIn,Image,Customer Testimonial,Tuesday,Afternoon (12:00-17:00),0.0,371,261,4,0,0,0,2,0,0.0,0,0.0,28.41
REC0066,Client_I,E-Learning & Education,Instagram,Reel,Behind the Scenes,Monday,Evening (17:00-21:00),0.0,1016,764,19,1,1,1,6,0,0.0,371,4902.57,36.73
REC0067,Client_C,B2B Tech/SaaS,Instagram,Reel,Meme/Trending,Tuesday,Evening (17:00-21:00),179.99,45000,40000,5200,450,1200,800,650,12,1800.0,35000,175000.0,94.8
REC0068,Client_F,Fintech & Finance,Instagram,Reel,Industry News,Tuesday,Morning (08:00-12:00),272.15,3433,2869,148,21,14,10,62,1,122.81,1875,19840.8,62.61
REC0069,Client_B,Fashion & Retail,Instagram,Carousel,Customer Testimonial,Saturday,Evening (17:00-21:00),0.0,855,628,48,7,2,4,7,0,0.0,0,0.0,59.09
REC0070,Client_A,Fashion & Retail,Facebook,Text,Lifestyle/Aesthetic,Monday,Afternoon (12:00-17:00),0.0,287,240,3,0,0,0,2,0,0.0,0,0.0,26.76
REC0071,Client_B,Fashion & Retail,YouTube,Video,Industry News,Monday,Evening (17:00-21:00),0.0,947,814,29,2,1,2,8,0,0.0,503,6684.03,42.36
REC0072,Client_D,B2B Tech/SaaS,LinkedIn,Image,Customer Testimonial,Wednesday,Morning (08:00-12:00),203.33,2029,1759,92,10,6,6,44,2,275.47,0,0.0,63.13
REC0073,Client_H,Real Estate,Facebook,Carousel,Promotional/Discount,Sunday,Evening (17:00-21:00),0.0,568,506,2,0,0,0,8,0,0.0,0,0.0,22.76
REC0074,Client_I,E-Learning & Education,Instagram,Reel,Industry News,Friday,Afternoon (12:00-17:00),0.0,1103,720,12,1,0,0,8,0,0.0,558,1939.29,31.91
REC0075,Client_F,Fintech & Finance,Facebook,Image,Promotional/Discount,Monday,Afternoon (12:00-17:00),113.64,1474,1164,11,1,0,0,37,1,109.89,0,0.0,33.01
REC0076,Client_F,Fintech & Finance,LinkedIn,Video,Behind the Scenes,Saturday,Afternoon (12:00-17:00),0.0,478,323,6,0,0,0,3,0,0.0,250,2892.26,30.06
REC0077,Client_D,B2B Tech/SaaS,LinkedIn,Carousel,Meme/Trending,Wednesday,Night (21:00-08:00),0.0,565,435,8,0,0,0,4,0,0.0,0,0.0,32.19
REC0078,Client_C,B2B Tech/SaaS,LinkedIn,Video,Promotional/Discount,Friday,Night (21:00-08:00),0.0,471,325,1,0,0,0,7,0,0.0,185,1483.85,20.46
REC0079,Client_A,Fashion & Retail,Facebook,Image,Industry News,Sunday,Afternoon (12:00-17:00),0.0,265,196,2,0,0,0,2,0,0.0,0,0.0,25.11
REC0080,Client_B,Fashion & Retail,Instagram,Reel,Meme/Trending,Tuesday,Evening (17:00-21:00),0.0,1518,1264,102,14,10,4,10,0,0.0,790,7036.79,61.16
REC0081,Client_F,Fintech & Finance,Facebook,Video,Meme/Trending,Monday,Night (21:00-08:00),0.0,560,499,2,0,0,0,3,0,0.0,222,861.8,22.37
REC0082,Client_J,Travel & Hospitality,Instagram,Reel,Product Education,Monday,Morning (08:00-12:00),154.01,2327,1610,41,5,3,2,44,3,305.12,1218,6662.58,52.13
REC0083,Client_D,B2B Tech/SaaS,LinkedIn,Image,Meme/Trending,Friday,Night (21:00-08:00),163.25,1698,1141,10,1,0,0,37,1,135.52,0,0.0,32.04
REC0084,Client_I,E-Learning & Education,Facebook,Carousel,Meme/Trending,Sunday,Evening (17:00-21:00),0.0,438,287,3,0,0,0,4,0,0.0,0,0.0,26.87
REC0085,Client_F,Fintech & Finance,Facebook,Image,Behind the Scenes,Monday,Evening (17:00-21:00),0.0,392,278,2,0,0,0,3,0,0.0,0,0.0,23.38
REC0086,Client_E,Food & Beverage,LinkedIn,Text,Lifestyle/Aesthetic,Thursday,Afternoon (12:00-17:00),0.0,330,279,6,0,0,0,2,0,0.0,0,0.0,31.05
REC0087,Client_B,Fashion & Retail,Facebook,Video,Industry News,Wednesday,Morning (08:00-12:00),127.95,1549,1276,8,0,0,0,30,0,0.0,749,7814.98,25.8
REC0088,Client_I,E-Learning & Education,LinkedIn,Carousel,Behind the Scenes,Saturday,Night (21:00-08:00),72.61,958,761,3,0,0,0,18,1,45.18,0,0.0,27.29
REC0089,Client_G,Health & Fitness,LinkedIn,Carousel,Industry News,Thursday,Evening (17:00-21:00),402.67,3815,2943,62,5,3,5,90,2,122.65,0,0.0,42.09
REC0090,Client_B,Fashion & Retail,Instagram,Video,Behind the Scenes,Monday,Afternoon (12:00-17:00),181.44,2459,2034,52,6,3,5,46,2,90.9,882,9347.27,45.81
REC0091,Client_G,Health & Fitness,Facebook,Video,Promotional/Discount,Monday,Afternoon (12:00-17:00),151.62,2012,1760,15,1,1,0,56,3,186.03,742,7780.84,37.09
REC0092,Client_A,Fashion & Retail,Instagram,Image,Product Education,Wednesday,Night (21:00-08:00),0.0,579,379,18,2,1,0,4,0,0.0,0,0.0,48.85
REC0093,Client_B,Fashion & Retail,Instagram,Carousel,Behind the Scenes,Wednesday,Afternoon (12:00-17:00),0.0,917,823,31,2,2,2,6,0,0.0,0,0.0,46.64
REC0094,Client_A,Fashion & Retail,Instagram,Carousel,Product Education,Wednesday,Afternoon (12:00-17:00),20.79,850,722,19,2,1,1,9,0,0.0,0,0.0,38.72
REC0095,Client_F,Fintech & Finance,Instagram,Carousel,Lifestyle/Aesthetic,Monday,Evening (17:00-21:00),0.0,681,538,16,1,1,0,5,0,0.0,0,0.0,36.68
REC0096,Client_A,Fashion & Retail,Instagram,Video,Customer Testimonial,Saturday,Morning (08:00-12:00),558.4,5524,4518,214,20,20,21,129,9,377.4,2003,8836.81,74.18
REC0097,Client_G,Health & Fitness,Instagram,Carousel,Industry News,Tuesday,Evening (17:00-21:00),116.92,1696,1501,68,5,5,4,30,1,60.01,0,0.0,52.99
REC0098,Client_A,Fashion & Retail,Instagram,Reel,Customer Testimonial,Saturday,Night (21:00-08:00),0.0,1048,736,71,6,2,2,7,0,0.0,562,5564.9,59.56
REC0099,Client_F,Fintech & Finance,LinkedIn,Text,Product Education,Saturday,Night (21:00-08:00),0.0,280,209,0,0,0,0,1,0,0.0,0,0.0,19.21
REC0100,Client_D,B2B Tech/SaaS,LinkedIn,Image,Lifestyle/Aesthetic,Friday,Evening (17:00-21:00),0.0,289,192,3,0,0,0,1,0,0.0,0,0.0,27.19
REC0101,Client_C,B2B Tech/SaaS,Instagram,Image,Promotional/Discount,Saturday,Afternoon (12:00-17:00),186.73,2188,1967,43,4,2,3,61,4,555.69,0,0.0,53.35
REC0102,Client_D,B2B Tech/SaaS,LinkedIn,Text,Customer Testimonial,Sunday,Evening (17:00-21:00),0.0,307,258,3,0,0,0,2,0,0.0,0,0.0,26.75
REC0103,Client_G,Health & Fitness,Facebook,Video,Behind the Scenes,Tuesday,Morning (08:00-12:00),0.0,492,387,4,0,0,0,3,0,0.0,219,1644.83,25.78
REC0104,Client_D,B2B Tech/SaaS,Facebook,Video,Behind the Scenes,Friday,Morning (08:00-12:00),0.0,527,433,8,0,0,0,4,0,0.0,253,3476.58,31.59
REC0105,Client_H,Real Estate,Instagram,Reel,Meme/Trending,Friday,Evening (17:00-21:00),676.91,6823,4499,171,20,14,5,145,5,1466.28,3018,44965.37,64.07
REC0106,Client_D,B2B Tech/SaaS,LinkedIn,Text,Promotional/Discount,Wednesday,Evening (17:00-21:00),0.0,343,228,3,0,0,0,5,0,0.0,0,0.0,28.93
REC0107,Client_B,Fashion & Retail,Instagram,Carousel,Promotional/Discount,Saturday,Morning (08:00-12:00),0.0,698,622,22,1,2,1,10,0,0.0,0,0.0,40.79
REC0108,Client_B,Fashion & Retail,Instagram,Carousel,Behind the Scenes,Sunday,Morning (08:00-12:00),94.87,1875,1660,65,5,3,6,29,0,0.0,0,0.0,49.01
REC0109,Client_G,Health & Fitness,YouTube,Video,Meme/Trending,Tuesday,Morning (08:00-12:00),0.0,1279,1064,39,4,1,2,12,0,0.0,489,2239.98,43.28
REC0110,Client_D,B2B Tech/SaaS,LinkedIn,Image,Customer Testimonial,Sunday,Night (21:00-08:00),90.02,1165,935,6,0,0,0,23,1,139.83,0,0.0,32.8
REC0111,Client_J,Travel & Hospitality,Instagram,Carousel,Industry News,Wednesday,Morning (08:00-12:00),42.34,1187,863,23,3,1,1,15,0,0.0,0,0.0,37.21
REC0112,Client_J,Travel & Hospitality,Facebook,Image,Product Education,Saturday,Afternoon (12:00-17:00),0.0,455,381,8,0,0,0,3,0,0.0,0,0.0,31.81
REC0113,Client_F,Fintech & Finance,LinkedIn,Text,Industry News,Saturday,Night (21:00-08:00),14.43,382,285,1,0,0,0,4,0,0.0,0,0.0,20.3
REC0114,Client_H,Real Estate,Facebook,Text,Behind the Scenes,Wednesday,Evening (17:00-21:00),68.32,843,694,14,2,0,1,16,0,0.0,0,0.0,32.59
REC0115,Client_A,Fashion & Retail,Instagram,Image,Promotional/Discount,Monday,Evening (17:00-21:00),0.0,683,495,17,2,1,0,11,0,0.0,0,0.0,43.41
REC0116,Client_G,Health & Fitness,LinkedIn,Text,Product Education,Thursday,Morning (08:00-12:00),0.0,305,242,3,0,0,0,2,0,0.0,0,0.0,25.16
REC0117,Client_E,Food & Beverage,Facebook,Image,Product Education,Friday,Afternoon (12:00-17:00),0.0,465,308,7,1,0,0,3,0,0.0,0,0.0,31.74
REC0118,Client_I,E-Learning & Education,Facebook,Text,Promotional/Discount,Friday,Afternoon (12:00-17:00),16.84,514,459,3,0,0,0,8,0,0.0,0,0.0,23.68
REC0119,Client_B,Fashion & Retail,YouTube,Video,Promotional/Discount,Tuesday,Morning (08:00-12:00),0.0,1021,850,13,1,1,0,17,1,46.12,458,6757.61,36.48
REC0120,Client_E,Food & Beverage,LinkedIn,Image,Product Education,Wednesday,Evening (17:00-21:00),0.0,248,168,4,0,0,0,2,0,0.0,0,0.0,34.67
REC0121,Client_B,Fashion & Retail,Instagram,Carousel,Meme/Trending,Saturday,Morning (08:00-12:00),0.0,768,592,34,5,3,2,6,0,0.0,0,0.0,58.92
REC0122,Client_F,Fintech & Finance,LinkedIn,Carousel,Lifestyle/Aesthetic,Thursday,Evening (17:00-21:00),0.0,402,277,6,0,0,0,3,0,0.0,0,0.0,34.52
REC0123,Client_I,E-Learning & Education,LinkedIn,Carousel,Product Education,Sunday,Afternoon (12:00-17:00),103.52,1341,1038,19,2,1,1,26,2,94.08,0,0.0,40.06
REC0124,Client_J,Travel & Hospitality,Instagram,Carousel,Product Education,Thursday,Morning (08:00-12:00),0.0,717,630,19,1,1,1,5,0,0.0,0,0.0,39.37
REC0125,Client_B,Fashion & Retail,Instagram,Carousel,Promotional/Discount,Monday,Evening (17:00-21:00),346.63,3592,2730,101,7,9,8,104,9,398.34,0,0.0,64.75
REC0126,Client_G,Health & Fitness,Instagram,Reel,Behind the Scenes,Thursday,Night (21:00-08:00),0.0,943,615,35,3,2,3,6,0,0.0,491,6298.92,55.81
REC0127,Client_B,Fashion & Retail,Instagram,Reel,Product Education,Wednesday,Afternoon (12:00-17:00),0.0,741,573,15,1,0,1,6,0,0.0,280,2009.08,36.2
REC0128,Client_B,Fashion & Retail,Facebook,Text,Lifestyle/Aesthetic,Monday,Morning (08:00-12:00),0.0,292,192,2,0,0,0,2,0,0.0,0,0.0,25.31
REC0129,Client_A,Fashion & Retail,Facebook,Image,Meme/Trending,Wednesday,Night (21:00-08:00),0.0,357,238,6,0,0,0,2,0,0.0,0,0.0,33.96
REC0130,Client_B,Fashion & Retail,LinkedIn,Carousel,Customer Testimonial,Sunday,Evening (17:00-21:00),98.87,1386,1090,46,7,2,2,23,1,48.76,0,0.0,52.51
REC0131,Client_G,Health & Fitness,Instagram,Reel,Lifestyle/Aesthetic,Wednesday,Evening (17:00-21:00),0.0,1391,1002,54,3,4,3,9,0,0.0,617,4081.57,53.55
REC0132,Client_E,Food & Beverage,Instagram,Carousel,Lifestyle/Aesthetic,Monday,Night (21:00-08:00),324.63,3489,2564,201,22,13,16,73,2,47.68,0,0.0,66.81
REC0133,Client_B,Fashion & Retail,Instagram,Reel,Promotional/Discount,Friday,Evening (17:00-21:00),0.0,1239,815,58,3,5,1,20,1,48.7,548,2548.36,65.86
REC0134,Client_C,B2B Tech/SaaS,Facebook,Video,Industry News,Wednesday,Afternoon (12:00-17:00),0.0,490,381,7,0,0,0,4,0,0.0,221,2344.64,31.99
REC0135,Client_F,Fintech & Finance,Facebook,Image,Industry News,Thursday,Afternoon (12:00-17:00),32.63,661,462,6,0,0,0,8,0,0.0,0,0.0,27.06
REC0136,Client_D,B2B Tech/SaaS,Instagram,Carousel,Industry News,Friday,Morning (08:00-12:00),85.83,1428,1220,46,6,3,1,24,0,0.0,0,0.0,45.93
REC0137,Client_A,Fashion & Retail,Instagram,Reel,Industry News,Friday,Morning (08:00-12:00),0.0,1398,1242,45,2,3,1,10,0,0.0,681,2978.59,43.43
REC0138,Client_A,Fashion & Retail,Instagram,Carousel,Customer Testimonial,Sunday,Night (21:00-08:00),0.0,751,548,55,5,4,3,6,0,0.0,0,0.0,58.69
REC0139,Client_C,B2B Tech/SaaS,Facebook,Text,Promotional/Discount,Wednesday,Night (21:00-08:00),0.0,332,284,1,0,0,0,4,0,0.0,0,0.0,21.96
REC0140,Client_E,Food & Beverage,Instagram,Carousel,Meme/Trending,Monday,Evening (17:00-21:00),0.0,756,652,41,3,3,3,6,0,0.0,0,0.0,59.2
REC0141,Client_C,B2B Tech/SaaS,Facebook,Reel,Meme/Trending,Sunday,Night (21:00-08:00),0.0,788,615,3,0,0,0,6,0,0.0,357,2694.25,23.54
REC0142,Client_C,B2B Tech/SaaS,LinkedIn,Image,Lifestyle/Aesthetic,Wednesday,Morning (08:00-12:00),291.73,2906,2310,130,9,6,13,63,3,452.87,0,0.0,69.35
REC0143,Client_D,B2B Tech/SaaS,Instagram,Carousel,Customer Testimonial,Wednesday,Afternoon (12:00-17:00),66.36,1338,913,48,4,2,2,19,1,151.36,0,0.0,62.62
REC0144,Client_D,B2B Tech/SaaS,Instagram,Video,Lifestyle/Aesthetic,Thursday,Morning (08:00-12:00),131.02,2268,1946,182,16,10,7,33,1,143.11,1232,11941.17,68.03
REC0145,Client_C,B2B Tech/SaaS,Instagram,Carousel,Industry News,Wednesday,Morning (08:00-12:00),0.0,424,380,24,2,1,1,2,0,0.0,0,0.0,56.8
REC0146,Client_A,Fashion & Retail,Facebook,Reel,Meme/Trending,Wednesday,Morning (08:00-12:00),0.0,714,470,5,0,0,0,5,0,0.0,385,3524.61,26.16
REC0147,Client_D,B2B Tech/SaaS,Facebook,Video,Behind the Scenes,Thursday,Afternoon (12:00-17:00),0.0,403,322,11,1,0,1,3,0,0.0,188,2383.67,39.26
REC0148,Client_C,B2B Tech/SaaS,LinkedIn,Image,Promotional/Discount,Friday,Morning (08:00-12:00),0.0,285,207,2,0,0,0,4,0,0.0,0,0.0,26.17
REC0149,Client_F,Fintech & Finance,Facebook,Text,Behind the Scenes,Saturday,Morning (08:00-12:00),254.78,2434,2164,31,5,2,3,55,1,125.71,0,0.0,36.66
REC0150,Client_I,E-Learning & Education,Facebook,Image,Industry News,Friday,Night (21:00-08:00),0.0,442,355,0,0,0,0,3,0,0.0,0,0.0,20.09
REC0151,Client_C,B2B Tech/SaaS,LinkedIn,Text,Behind the Scenes,Friday,Morning (08:00-12:00),314.82,2919,2511,68,7,3,5,71,2,321.8,0,0.0,48.56
REC0152,Client_C,B2B Tech/SaaS,LinkedIn,Video,Lifestyle/Aesthetic,Sunday,Evening (17:00-21:00),141.29,1742,1227,21,2,1,2,33,1,161.01,767,9861.46,39.74
REC0153,Client_F,Fintech & Finance,Instagram,Reel,Lifestyle/Aesthetic,Tuesday,Night (21:00-08:00),64.19,1858,1263,25,3,1,0,26,1,125.32,751,5879.85,42.47
REC0154,Client_I,E-Learning & Education,Instagram,Carousel,Behind the Scenes,Tuesday,Night (21:00-08:00),0.0,806,617,15,2,0,1,7,0,0.0,0,0.0,36.75
